Europe,Albania,13,1,2,0,3,2,0,1,1,0,1,1,6,1,0,3,0,0,110,16,0,0,161
Africa,Algeria,4,0,0,0,1,5,4,0,0,1,2,0,7,0,0,3,1,18,0,1,0,0,47
Africa,Angola,0,0,0,1,1,0,3,0,0,0,1,0,2,0,0,2,1,0,0,1,0,0,12
North America,Antigua and Barbuda,0,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11
South America,Argentina,25,0,0,1,5,14,14,2,3,0,4,4,45,0,0,4,0,11,0,5,1,0,138
Europe,Armenia,1,1,1,1,5,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,100,0,114
Australia,Australia,0,1,0,1,0,18,0,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,38
Europe,Austria,1,1,1,2,1,4,2,0,0,0,1,4,4,0,1,273,0,0,0,3,0,0,298
Europe,Azerbaijan,0,0,0,0,2,0,0,127,0,0,0,1,0,0,0,2,0,0,0,0,0,0,132
North America,Barbados,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Europe,Belarus,1,1,0,0,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30
Europe,Belgium,3,0,0,0,1,13,4,0,1,2,322,2,4,0,1,4,4,7,0,0,0,0,368
Africa,Benin,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,12
North America,Bermuda,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Europe,Bosnia-Herzegovina,1,15,179,2,3,2,0,2,1,1,7,3,1,1,12,13,2,2,0,7,1,0,255
South America,Brazil,17,2,8,2,12,8,153,3,4,0,22,7,35,8,4,20,3,13,1,5,0,0,327
Europe,Bulgaria,1,0,4,0,6,3,2,1,0,1,1,1,0,203,0,0,0,0,0,0,0,0,223
Africa,Burkina Faso,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,1,0,6,0,0,0,0,14
Africa,Cameroon,2,1,1,1,1,5,6,0,0,0,7,3,6,0,0,5,1,19,0,3,0,0,61
North America,Canada,0,0,0,0,0,7,0,0,0,4,0,0,0,0,1,6,0,0,0,0,0,0,18
Africa,Cape Verde,1,0,0,0,0,0,26,0,0,0,3,0,0,1,0,0,7,2,0,1,0,0,41
Africa,Central African Republic,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,5
South America,Chile,0,0,0,0,1,1,2,0,0,0,3,1,12,0,0,0,0,0,0,1,0,0,21
South America,Colombia,0,1,0,0,1,2,11,1,0,0,5,0,8,1,0,2,0,3,0,0,0,0,35
Africa,Comoros,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,7
Africa,Congo,2,2,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,4,0,2,0,0,16
Africa,Congo DR,1,1,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,11
North America,Costa Rica,0,0,0,1,2,2,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,11
Africa,Cote d'Ivoire,2,2,2,0,5,5,13,0,1,0,10,1,7,0,0,4,1,18,0,7,0,0,78
Europe,Croatia,4,5,15,3,3,4,1,0,0,0,7,2,10,0,11,24,0,2,1,8,0,0,100
North America,Curacao,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0,1,0,0,0,0,0,0,17
Europe,Cyprus,88,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100
Europe,Czech Republic,2,397,0,1,7,3,0,0,0,5,9,5,3,0,1,12,0,2,0,4,0,0,451
Europe,Denmark,0,0,0,339,1,9,2,0,0,0,16,0,3,0,0,8,0,1,0,0,0,0,379
South America,Ecuador,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,7
Africa,Egypt,1,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,12
Europe,England,2,0,0,1,0,1524,2,0,1,71,18,1,15,0,0,1,0,0,0,2,0,0,1638
Europe,Estonia,1,1,0,3,4,4,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,17
Europe,Faroe Island,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Europe,Finland,0,0,0,1,4,3,0,0,0,1,7,0,1,1,0,6,0,0,0,3,0,0,27
Europe,France,8,1,2,0,3,45,15,1,0,5,37,1,37,8,2,13,50,430,0,10,0,0,668
South America,French Guiana,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
Africa,Gabon,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,13
Europe,Georgia,1,0,0,1,54,0,1,3,1,0,3,1,1,0,0,1,0,0,1,1,0,0,69
Europe,Germany,1,1,1,1,2,10,1,0,1,1,7,1,7,0,0,652,5,1,0,7,0,0,699
Africa,Ghana,4,4,5,4,2,8,12,0,0,1,10,1,11,1,0,5,1,8,0,4,0,0,81
Europe,Gibraltar,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Europe,Greece,370,0,0,0,0,1,0,0,0,0,1,1,4,0,0,6,0,0,0,0,0,0,383
North America,Guadeloupe,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,9,0,1,0,0,15
Africa,Guine,1,0,0,1,0,1,2,0,0,0,3,0,1,1,0,1,0,12,0,1,0,0,24
Africa,Guinea-Bissau,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,22
South America,Guyana,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
North America,Haiti,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,0,0,8
North America,Honduras,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
Europe,Hungary,1,0,0,1,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0,15
Europe,Iceland,0,0,1,11,0,5,0,0,0,4,6,0,1,0,0,1,0,0,0,0,0,0,29
Asia,Iran,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,6
Europe,Ireland,0,0,0,0,1,184,1,0,0,45,0,0,1,0,0,1,0,0,0,0,0,0,233
Asia,Israel,2,0,0,0,2,0,0,0,226,2,11,0,1,0,0,4,0,4,0,3,0,0,255
Europe,Italy,4,0,0,0,2,5,3,0,0,2,1,0,197,0,0,10,0,4,0,8,0,0,236
North America,Jamaica,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28
Asia,Japan,0,0,1,0,1,2,2,0,0,0,2,0,2,0,0,8,0,0,0,1,0,0,19
Europe,Jersey (France),0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Asia,Kazakhstan,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,5
Africa,Kenya,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
Asia,Korea North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Asia,Korea South,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,6,0,0,0,1,0,0,12
Europe,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,12,0,0,18
Europe,Latvia,2,1,0,0,4,2,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,15
Africa,Liberia,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Africa,Libya,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Europe,Liechtenstein,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,9
Europe,Lithuania,1,1,0,1,4,0,0,0,1,3,0,1,2,0,0,1,0,0,0,0,0,1,16
Europe,Luxembourg,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,153,0,0,1,0,0,160
Europe,Macedonia,6,2,108,5,2,1,0,3,0,0,6,0,1,4,2,3,1,0,1,3,0,1,149
Africa,Mali,2,0,0,1,0,5,3,1,0,0,5,0,2,1,0,0,0,17,0,0,1,0,38
Europe,Malta,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
North America,Martinique,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,10
Africa,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
